NEST_NUMBER,NESTING_TERRITORY,FINDER,VALID_NEST,FOUND_DATE,FOUND_STAGE,FD_YEAR,FD_MONTH,FD_DAY,ATTEMPT,LAT,LONG,LOCATION_DESCRIPTION,NEST_IN,ON,SPECIES,SCI_NAME,NEST_HT_M,TREE_HT_M,LADDER,NATURAL_LANDSCAPE,CANOPY_WIDTH_M,DIST_FROM_TRUNK_M,DIR_FROM_TRUNK,DIR_FR_TRUNK_DEGREES,1_M_HABITAT,100_M_HABITAT,DAD,MOM,HATCH_DATE,HD_YEAR,HD_MONTH,HD_DAY,HD_PRECISION,FLEDGE_DATE,HOW_KNOWN,VISITS,EGGS,EGGS_DATE,CHICKS,CHICKS_DATE,UNHATCHED_EGGS,BAND,BAND_DATE,BAND_AGE,c1,c2,c3,c4,c5,c6,POSTBAND_CHECK,PBC_DATE,ANY_FLEDGED,FLEDGED,FLEDGE_CHECK_DATE,FLEDGE_CHECKS,IF40CHECK,IF40DATE,if1,if2,if3,if4,if5,if6,DF1,DF2,DF3,W1,W2,B1,B2,NEST_FATE,FAIL_DATE,FAIL_PRECISION,FAIL_STAGE,Comments,check,Nest_ID,NESTING_TERRITORY,UC_MONITORED,UC_ACTIVE,LAYING_MONITORED,LAYING_ACTIVE,INC_MONITORED,INC_ACTIVE,NESTLING_MONITORED,NESTLING_ACTIVE,BAND_MONITORED,BAND_ACTIVE,FLEDGELINGS_MONITORED,FLEDGLINGS_ACTIVE,IF_MONITORED,IF_ACTIVE
LOSH-2018-01,COURTH,KMM,TRUE,5-Apr-18,laying,2018,4,5,1,33.830689,-79.047979,In live oak over sidewalk along marina drive in front of the courthouse. Last live oak before driveway into parking lot,Tree,Living,LIVOAK,Quercus_virginiana,4,6,,Landscape,6,2,S,,Sidewalk,Lawns/park / roads/ parking lot,GMOB,omoo,14-Apr-18,2018,4,14,1,,,5,6,5-Apr-18,6,15-Apr-18,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,20-Apr-18,,c,,1,LOSH-2018-01,COURTH,0,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2018-02,CYPRES,461L,TRUE,5-Apr-18,incubating,2018,4,5,1,33.831623,-79.045607,6m up in 4th live oak along rr tracks N of elm,Tree,Living,LIVOAK,Quercus_virginiana,6,15,,Landscape,13,3.5,SE,,Park/street,Park/street/ parking lot/ commercial,UB?,UB?,12-Apr-18,2018,4,12,1,,,6,5,8-Apr-18,4?,15-Apr-18,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,FA,24-Apr-18,,c,,1,LOSH-2018-02,CYPRES,0,1,0,1,1,1,1,1,1,0,1,0,1,0
LOSH-2018-03,RIVERF,CEH,TRUE,5-Apr-18,incubating,2018,4,5,1,33.830476,-79.045899,5 m up in live oak overhanging left side of driveway to Tennis Center parking lot.,Tree,Living,LIVOAK,Quercus_virginiana,5,7.5,,Landscape,8.5,2,N,,Driveway,Parking lot/park/tennis court,aawm,GMYR,7-Apr-18,2018,4,7,1,,,5,,,5,15-Apr-18,,5,15-Apr-18,12,w--m,w--m,w--m,w--m,,,1,6-May-18,1,2+,6-May-18,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-03,RIVERF,0,1,0,1,1,1,1,1,1,1,1,1,0,0
LOSH-2018-04,DISCGO,CEH,TRUE,7-Apr-18,nestlings,2018,4,7,1,33.797461,-79.003753,Middle bush of 3 behind the brick CCU sign /wall,Shrub,Living,AMEHOL,Ilex_opaca,3,4,,Landscape,3,0.5,S,,Shrub,"Lawn, highway",AYYM,WWMR,23-Mar-18,2018,3,23,1,8-Apr-18,They jumped when we went to band them(but not earlier when we videoed them),2,,,5,8-Apr-18,,5,8-Apr-18,16,e--m,e--m,e--m,e--m,eymo,,1,25-Apr-18,1,4 or 5,6-May-18,,4 or 5,6-May-18,e--m,e--m,e--m,eymo,,,e--m,,,,,eymo,,FL,,,,,1,LOSH-2018-04,DISCGO,0,1,0,1,0,1,1,1,1,1,1,1,1,1
LOSH-2018-05,HGTCCC,CEH,TRUE,2-Apr-18,laying,2018,4,2,1,33.793708,-79.001623,High in the big live oak on the lawn South of the 1100 building.  The lawn in front of the semicircle garden.,Tree,Living,LIVOAK,Quercus_virginiana,4.5,6.5,,Landscape,6.5,2,NW,,Lawn,Campus-Lawn /parking lot/ roads,WMBB,MGOO,26-Apr-18,2018,4,26,1,,,6,5,18-Apr-18,5,29-Apr-18,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,FA,2-May-18,,c,,1,LOSH-2018-05,HGTCCC,0,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2018-06,501WAL,CEH,TRUE,11-Apr-18,incubating,2018,4,11,1,33.778008,-78.987116,"Near Walmart if you drive in the driveway nearest the Murphy express its in the live oak closest to the 1st corner, on the right",Tree,Living,LIVOAK,Quercus_virginiana,4,5.5,,Landscape,6,0.75,S,,Mulch,Road/Parking lot/lawn/commercial /highway verge,eeme,UB,21-Apr-18,2018,4,21,1,,,5,5,11-Apr-18,4,29-Apr-18,,4,2-May-18,13,wm--,wm--,wm--,wm--,,,1,20-May-18,1,2,20-May-18,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-06,501WAL,0,1,0,1,1,1,1,1,1,1,1,1,0,0
LOSH-2018-07,DILLAR,CEH,TRUE,11-Apr-18,Under Construction,2018,4,11,1,33.69966,-78.972246,In the middle of a small bald cypress (?) down the slope from the circular cul-de-sac at Dillard’s,Tree,Living,BALCYP,Taxodium_distichum,3.5,4.5,,Landscape,5,0,W,,Lawn,"Lawn,parking lot, road, pond",morr,mree,15-May-18,2018,5,15,1,27-May-18,Branchers,6,6,29-Apr-18,6,20-May-18,,6,23-May-18,8,--mw,--mw,--mw,--mw,--mw,--mw,1,27-May-18,1,4+,27-May-18,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2018-07,DILLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LOSH-2018-08,RRTRAC,CEH,TRUE,14-Apr-18,nestlings,2018,4,14,1,33.792001,-78.994424,Near rr tracks behind Lowe’s. There are a couple pines on the right as century circle crosses the ditch + rr tracks in the left most pine as viewed from the road,Tree,Living,LOBPIN,Pinus_taeda,6,18,,Natural,12.5,3,S,,Grass,Commercial/lawn/road/Ditch/rr tracks,MYAA,PPPM,6-Apr-18,2018,4,6,1,22-Apr-18,didn't want to go back in after banding,4,,,3,15-Apr-18,,3,22-Apr-18,16,m--w,m--w,,,,,1,29-Apr-18,1,1+,29-Apr-18,,,,,,,,,,m--w,m--w,,,,,,FL,,,,,1,LOSH-2018-08,RRTRAC,0,1,0,1,0,1,1,1,1,1,1,1,0,0
LOSH-2018-09,LOWESP,CEH,TRUE,14-Apr-18,Under Construction,2018,4,14,,33.792592,-78.997972,"Second Willow Oak south of the ""exit driveway"" onto 501 (in the row of trees that separates the Lowe's Parking Lot from 501)",Tree,Living,WILOAK,Quercus_phellos,4.5,8,,Landscape,10,2,E,,Grass,"Parking lot, highway with grass, median/edge",emor,pomy,17-May-18,2018,5,17,1,29-May-18,One was out when I went to band. They wouldn’t go back in after and 2 fluttered to the ground,8,,,5,20-May-18,,4,29-May-18,13,p--m,p--m,p--m,p--m,,,,,2,,,,,,,,,,,,p--m,,,,,,,BA,,,,,1,LOSH-2018-09,LOWESP,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LOSH-2018-10,COXFER,CEH,TRUE,11-Apr-18,Under Construction,2018,4,11,1,33.807014,-79.008045,First live oak past the dumpster/ 3rd from end of row . Cox ferry water tower,Tree,Living,LIVOAK,Quercus_virginiana,,6,,Landscape,6,,,,mulch,"parking lot, grass, buildings, ditch",oomw,embw,9-May-18,2018,5,9,1,,,6,5,22-Apr-18,5,9-May-18,,5,20-May-18,11,--wm,--wm,--wm,--wm,--wm,,,,2,,,,,,,,,,,,,,,,,,,BA,,,,,1,LOSH-2018-10,COXFER,1,1,1,1,1,1,1,1,1,1,,,,
